feedbacks,topics
The bottom- line is that this laptop just is n't worth it .,
Awesome graphics !,graphics
2.The wireless card is low quality .,wireless card
The keyboard is slick and quiet and not bulky like some other laptops I have had in the past .,keyboard
I would like at least a 4 hr . battery life .,battery life
I would buy one of these for every person in my office if I could .,
The body is a bit cheaply made so it will be interesting to see how long it holds up .,body
Best Buy ended up junking the computer and giving me a replacement computer .,
There is no number pad to the right of the keyboard which is a bummer .,"pad, keyboard"
"I am able to organize my pics , music and files easily .",
PC users use the Powerpoint program for slide - show presentation and Mac users utilize Keynote .,"Powerpoint program, Keynote"
The iLife software that comes with the computer is so simple to use and produces a great finished product .,"iLife software, use"
Strengths : Well - shaped Weaknesses : A bad videocard !,"shaped, videocard"
Its fast and another thing I like is that it has three USB ports .,USB ports
"i am a huge computer person i love anykind of computer that works well , but when i got this one i was so happy with the way it works and how it runs its amazing .",runs
"Without a doubt , the * design * of this laptop is fantastic .",design
"Great laptop for school , easy to use for beginners in the household .",use
The display is beyond horrible .,display
"Laptop was in new condition and operational , but for the audio problem when 1st sent for repair .",audio
"Waiting for the i7 was well worth it , great value for the price .","i7, price"
"A MONTH LATER , we reinstall the OS ( Vista ) .",OS ( Vista )
was a great deal i will give that .,
"I saw walmart had the same computer for about $ 650 but still knowing what I know now , I would not buy it at that price .",price
"I sent it back and found this time that the battery was faulty , so I got a new one and some other fixes they found .",battery
"I am constantly trying to uninstall programs , clean cookies , and delete unused files .",programs
pretty much everything else about the computer is good it just stops working out of no were .,working
but after i got used to it i love it .,
It 's super fast and a great value for the price !,"value, price"
"They would repair one thing , send it back and it would still have the same problem .",
And the ram ( the thing that makes it faster ) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before .,"ram, performance, surf the web"
"Took that one home , same thing .",
"Not a bad laptop , it 's a bit slow , but gets the job done .",
Everything from the design to the OS is simple and to the point .,"design, OS"
Originally bought it for my wife .,
It was super easy to set up and Is really easy to get used to .,set up
"In summary , take your money elsewhere .",
Price and purpose is awesome !,Price
apple is one of the best computer companies in the country .,
